name,completename,comment
"B108 - Sala de Aula","IFF CAMPUS_SVS > DE > B108 - Sala de Aula",NULL
"B201 - Sala de Aula","IFF CAMPUS_SVS > DE > B201 - Sala de Aula",NULL
"B202 - Sala de Aula","IFF CAMPUS_SVS > DE > B202 - Sala de Aula",NULL
"B203 - Sala de Aula","IFF CAMPUS_SVS > DE > B203 - Sala de Aula",NULL
"B204 - Sala de Aula","IFF CAMPUS_SVS > DE > B204 - Sala de Aula",NULL
"B205 - Sala de Aula","IFF CAMPUS_SVS > DE > B205 - Sala de Aula",NULL
"B206 - Sala de Aula","IFF CAMPUS_SVS > DE > B206 - Sala de Aula",NULL
"B207 - Sala de Aula","IFF CAMPUS_SVS > DE > B207 - Sala de Aula",NULL
"B208 - Sala de Aula","IFF CAMPUS_SVS > DE > B208 - Sala de Aula",NULL
"C001 - Setor de Psicologia (Consultorio)","IFF CAMPUS_SVS > DE > C001 - Setor de Psicologia (Consultorio)",NULL
"C002 - Setor de Psicologia (Sala de Espera)","IFF CAMPUS_SVS > DE > C002 - Setor de Psicologia (Sala de Espera)",NULL
"C003 - Sala de Professores","IFF CAMPUS_SVS > DE > C003 - Sala de Professores",NULL
"C004 - Hall de Acesso","IFF CAMPUS_SVS > DE > C004 - Hall de Acesso",NULL
"C005 - Sala de Professores","IFF CAMPUS_SVS > DE > C005 - Sala de Professores",NULL
"C006 - Sala de Professores","IFF CAMPUS_SVS > DE > C006 - Sala de Professores",NULL
"C007 - Sala de Professores","IFF CAMPUS_SVS > DE > C007 - Sala de Professores",NULL
"C008 - Sala de Professores","IFF CAMPUS_SVS > DE > C008 - Sala de Professores",NULL
"C009 - Sala de Professores","IFF CAMPUS_SVS > DE > C009 - Sala de Professores",NULL
"C010 - Sala de Professores","IFF CAMPUS_SVS > DE > C010 - Sala de Professores",NULL
"C011 - Sala de Professores","IFF CAMPUS_SVS > DE > C011 - Sala de Professores",NULL
"C012 - Sala de Professores","IFF CAMPUS_SVS > DE > C012 - Sala de Professores",NULL
"C013 - NAPNE CAI BEABI NUGEDS","IFF CAMPUS_SVS > DE > C013 - NAPNE CAI BEABI NUGEDS",NULL
"C014 - NAPNE","IFF CAMPUS_SVS > DE > C014 - NAPNE",NULL
"C015 - NAPNE Sala Multifuncional","IFF CAMPUS_SVS > DE > C015 - NAPNE Sala Multifuncional",NULL
"D1 - CAE","IFF CAMPUS_SVS > DE > D1 - CAE","ASSISTÊNCIA ESTUDANTIL"
"D1-001A - Portaria Moradia","IFF CAMPUS_SVS > DE > D1 - CAE > D1-001A - Portaria Moradia",
"D1-001B - Cozinha","IFF CAMPUS_SVS > DE > D1 - CAE > D1-001B - Cozinha",
"D1-002 - Setor Assistência Estudantil","IFF CAMPUS_SVS > DE > D1 - CAE > D1-002 - Setor Assistência Estudantil","SETOR DE ASSISTENCIA AO ESTUDANTIL"
"D1-003 - Auxílios e Bolsas","IFF CAMPUS_SVS > DE > D1 - CAE > D1-003 - Auxílios e Bolsas",
"D1-004 - Assistência Social","IFF CAMPUS_SVS > DE > D1 - CAE > D1-004 - Assistência Social",
"D1-005 - Sala da Coordenação","IFF CAMPUS_SVS > DE > D1 - CAE > D1-005 - Sala da Coordenação",
"D1-006 - Sala de Almoxarifado e manutenção","IFF CAMPUS_SVS > DE > D1 - CAE > D1-006 - Sala de Almoxarifado e manutenção",
"D1-007 - Sala de TV","IFF CAMPUS_SVS > DE > D1 - CAE > D1-007 - Sala de TV",
"D1-008 - Lavanderia","IFF CAMPUS_SVS > DE > D1 - CAE > D1-008 - Lavanderia",
"D2 - Setor de Saude","IFF CAMPUS_SVS > DE > D2 - Setor de Saude","CENTRO DE SAÚDE"
DAD,"IFF CAMPUS_SVS > DAD","Diretoria Administrativa"
DE,"IFF CAMPUS_SVS > DE","Diretoria de Ensino"
DG,"IFF CAMPUS_SVS > DG","Direção Geral"
DPDI,"IFF CAMPUS_SVS > DPDI","Diretoria de Planejamento e Desenvolvimento Institucional"
DPEP,"IFF CAMPUS_SVS > DPEP","Diretoria de Pesquisa, Produção e Extensão"
"E - Lab. Bio e Sementes","IFF CAMPUS_SVS > DE > E - Lab. Bio e Sementes","LABORATÓRIO DE BIOTECNOLOGIA E SEMENTES"
"E001  - Almoxarifado","IFF CAMPUS_SVS > DE > E - Lab. Bio e Sementes > E001  - Almoxarifado",
"E002 - Cultivo I","IFF CAMPUS_SVS > DE > E - Lab. Bio e Sementes > E002 - Cultivo I",
"E003 - Cultivo II","IFF CAMPUS_SVS > DE > E - Lab. Bio e Sementes > E003 - Cultivo II",
"E004 - Manipulação","IFF CAMPUS_SVS > DE > E - Lab. Bio e Sementes > E004 - Manipulação",
"E005 - Apoio","IFF CAMPUS_SVS > DE > E - Lab. Bio e Sementes > E005 - Apoio",
"E006 - Lab. Biotec","IFF CAMPUS_SVS > DE > E - Lab. Bio e Sementes > E006 - Lab. Biotec",
"E007 - Lab. Sementes","IFF CAMPUS_SVS > DE > E - Lab. Bio e Sementes > E007 - Lab. Sementes",
"E008 - Lab. Entomologia","IFF CAMPUS_SVS > DE > E - Lab. Bio e Sementes > E008 - Lab. Entomologia",
"F - CIET","IFF CAMPUS_SVS > DE > F - CIET","Centro de Informática e Salas de Aula"
"F001 - NIT Núcleo de Inovação Tecnológico","IFF CAMPUS_SVS > DE > F - CIET > F001 - NIT Núcleo de Inovação Tecnológico",NULL
"F002 - NEAD","IFF CAMPUS_SVS > DE > F - CIET > F002 - NEAD",
"F003 - Studio","IFF CAMPUS_SVS > DE > F - CIET > F003 - Studio",NULL
"F004 - Sala de aula","IFF CAMPUS_SVS > DE > F - CIET > F004 - Sala de aula",NULL
"F005 - Professores","IFF CAMPUS_SVS > DE > F - CIET > F005 - Professores",NULL
"F006 - Arquivo","IFF CAMPUS_SVS > DE > F - CIET > F006 - Arquivo",NULL
"F007 - Professores","IFF CAMPUS_SVS > DE > F - CIET > F007 - Professores",NULL
"F008 - Professores","IFF CAMPUS_SVS > DE > F - CIET > F008 - Professores",NULL
"F009 - Professores","IFF CAMPUS_SVS > DE > F - CIET > F009 - Professores",NULL
